d_dry,ovf,ovf_err,kappa,kappa_err
50,0.36394399999999993,0.08210582810364409,0.3705,0.08028808703400206
50,0.48799999999999993,0.0656778893119816,0.3341,0.07095348209115492
50,0.561024,0.0562071533646012,0.2723,0.05973958699478894
50,0.657,0.044418082369749895,0.2275,0.04968271545948
50,0.7839999999999999,0.027719979841282483,0.1694,0.037002602062322955
50,0.7839999999999999,0.02769003377185936,0.1637,0.03557187136678199
50,0.914816,0.011088813861881321,0.1228,0.02647439971043838
50,1,0.0,0.071,0.015519201476889384
70,0.9212827988338191,0.010216835645515805,0.1275,0.027481517263330896
70,0.235731778425656,0.09972099395269396,0.4674,0.10093962726544586
70,0.370262390670554,0.0822631898791357,0.3995,0.08666817545574414
70,0.370262390670554,0.08142502692554097,0.3454,0.07409151834942244
70,0.5659562682215744,0.05594127726020318,0.273,0.05835432012457922
70,0.6355685131195336,0.04607950863679722,0.2754,0.05977132380861476
70,0.7516501457725948,0.031846257604616915,0.1977,0.04289155525575448
70,0.784,0.027619757596201132,0.1768,0.03809312671359005
70,0.8134110787172012,0.02383361850785105,0.1703,0.03713194254970103
70,0.8639766763848395,0.0176087694867087,0.1455,0.03182968074026054
70,0.8750000000000001,0.01602229464580294,0.1401,0.030073870778479204
70,0.9131457725947522,0.011211968567588809,0.1284,0.02789479680202945
70,0.9487580174927113,0.006652970778398946,0.1243,0.027241703271577534
70,1,0.0,0.0333,0.007209276557127393
70,1,0.0,0.024,0.005206590712076208
80,0.916259765625,0.010676656654273224,0.1296,0.02796384508332436
80,0.947265625,0.006785444956236208,0.1246,0.026805562266877546
80,1,0.0,0.016,0.0034981709230283106
90,0.37375445816186553,0.0806562847905064,0.2407,0.05233584317628411
90,0.5686803840877915,0.05568470722053882,0.2357,0.05054905256087647
90,0.6404060356652949,0.046355575873410576,0.2276,0.05007032869264798
90,0.7037037037037037,0.0382132792022395,0.2043,0.04373067588923034
90,0.784,0.027620117070936194,0.1778,0.03900535971177368
90,0.8285322359396433,0.02221339123731479,0.1674,0.036070832472221134
90,0.9054581618655693,0.012163158291488025,0.1443,0.031134201833179526
90,0.9411865569272976,0.007518173155149219,0.1206,0.025970672982241483
90,0.962962962962963,0.0047990497330306,0.12,0.0258768534793028
90,1,0.0,0.0308,0.0066726265032164
110,0.8030473328324569,0.025559328903837334,0.1387,0.029533342058864067
110,0.8377160030052593,0.02109081175205885,0.1337,0.029148465344195518
110,0.9060856498873028,0.01211027881158303,0.118,0.025585009036791524
50,0.36394399999999993,0.08193196970954734,0.3679,0.08057207012687403
50,0.48799999999999993,0.06653737664485415,0.3195,0.06915188620544199
50,0.561024,0.05641466792670081,0.2656,0.0571219716965065
50,0.657,0.04474438894301316,0.2282,0.049723128057594615
50,0.7839999999999999,0.028030834656134603,0.1669,0.035914186400780305
50,0.7839999999999999,0.027857404802075117,0.1617,0.03503860447126071
50,0.914816,0.010954597940042379,0.1244,0.026795836392564863
50,1,0.0,0.071,0.015460676583510297
70,0.9212827988338191,0.010189899101830394,0.1302,0.028202838110327096
70,0.235731778425656,0.09956525146319078,0.4871,0.10433862027273576
70,0.370262390670554,0.08085210710613681,0.4124,0.0895100748553593
70,0.370262390670554,0.08098220939738812,0.3778,0.08135632224864241
70,0.5659562682215744,0.055908896212688484,0.2827,0.061441510428875266
70,0.6355685131195336,0.04682836811171996,0.274,0.05840191467476484
70,0.7516501457725948,0.031632554097850145,0.193,0.041336426749216025
70,0.784,0.028228524544736202,0.1746,0.03811866674985668
70,0.8134110787172012,0.024176878687843927,0.1662,0.03668782406645731
70,0.8639766763848395,0.017439998960483392,0.1449,0.031563974492875825
70,0.8750000000000001,0.016182649664196268,0.144,0.03130986305588621
70,0.9131457725947522,0.011192961160907091,0.128,0.028141431972991855
70,0.9487580174927113,0.006695251040717959,0.124,0.026646929039914547
70,1,0.0,0.0316,0.006790062168462529
70,1,0.0,0.024,0.005187156571903099
80,0.916259765625,0.010851217953914851,0.1279,0.027416639785991962
80,0.947265625,0.006817645576841486,0.1241,0.02686229825841805
80,1,0.0,0.016,0.003453724241404746
90,0.37375445816186553,0.08180311069979385,0.2627,0.05679566978589881
90,0.5686803840877915,0.05519737749320426,0.2425,0.05271618272575213
90,0.6404060356652949,0.04644534531877386,0.239,0.05160448546118885
90,0.7037037037037037,0.03778960925217895,0.2112,0.045639781234085686
90,0.784,0.02754213226766508,0.1735,0.03774798729304854
90,0.8285322359396433,0.02216043192326102,0.1714,0.03737223742465976
90,0.9054581618655693,0.012141039323400245,0.1381,0.029824332334552787
90,0.9411865569272976,0.007548991892358201,0.1182,0.02523507916586554
90,0.962962962962963,0.004715871075781467,0.1194,0.025754961790799898
90,1,0.0,0.0334,0.007277422640306146
110,0.8030473328324569,0.025484734769640853,0.146,0.031690575859877716
110,0.8377160030052593,0.02074751379867898,0.1418,0.030961668481065432
110,0.9060856498873028,0.0122983714772057,0.1221,0.026597594891876103
